anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	present	site_category	num_mutations
0	Right Ovary	0	A	0	primary	82
1	Left Fallopian Tube	0	A	1	metastasis	82
2	Omentum	0	A	1	metastasis	82
0	Right Ovary	1	B	1	primary	68
1	Left Fallopian Tube	1	B	1	metastasis	68
2	Omentum	1	B	0	metastasis	68
0	Right Ovary	2	C	0	primary	47
1	Left Fallopian Tube	2	C	0	metastasis	47
2	Omentum	2	C	0	metastasis	47
0	Right Ovary	3	D	1	primary	2
1	Left Fallopian Tube	3	D	0	metastasis	2
2	Omentum	3	D	0	metastasis	2
0	Right Ovary	4	E	1	primary	2
1	Left Fallopian Tube	4	E	0	metastasis	2
2	Omentum	4	E	1	metastasis	2
0	Right Ovary	5	F	1	primary	4
1	Left Fallopian Tube	5	F	0	metastasis	4
2	Omentum	5	F	1	metastasis	4
