anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	present	site_category	num_mutations
0	primary_SU_T1	0	CYLD;CHD4	1	primary	758
1	LN_SU_FLN1	0	CYLD;CHD4	0	metastasis	758
0	primary_SU_T1	1	MACF1	1	primary	26
1	LN_SU_FLN1	1	MACF1	0	metastasis	26
0	primary_SU_T1	2	DFFB;OR11L1	1	primary	19
1	LN_SU_FLN1	2	DFFB;OR11L1	0	metastasis	19
0	primary_SU_T1	3	POMGNT1;TRMT1L	1	primary	12
1	LN_SU_FLN1	3	POMGNT1;TRMT1L	0	metastasis	12
0	primary_SU_T1	4	FAM189B;ZNF670	1	primary	11
1	LN_SU_FLN1	4	FAM189B;ZNF670	0	metastasis	11
0	primary_SU_T1	5	UBE4B;PAFAH2	1	primary	9
1	LN_SU_FLN1	5	UBE4B;PAFAH2	0	metastasis	9
0	primary_SU_T1	6	ECM1;SEMA6C	1	primary	9
1	LN_SU_FLN1	6	ECM1;SEMA6C	0	metastasis	9
0	primary_SU_T1	7	SCN11A;WWC2	0	primary	6
1	LN_SU_FLN1	7	SCN11A;WWC2	1	metastasis	6
0	primary_SU_T1	8	ZNF692;NR4A2	1	primary	5
1	LN_SU_FLN1	8	ZNF692;NR4A2	0	metastasis	5
