anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	present	site_category	num_mutations
0	CRUK0372_SU_T1	0	SETD2;TLR4	0	primary	190
1	CRUK0372_SU_FLN2	0	SETD2;TLR4	0	metastasis	190
0	CRUK0372_SU_T1	1	NIPBL;EGFR	1	primary	168
1	CRUK0372_SU_FLN2	1	NIPBL;EGFR	0	metastasis	168
0	CRUK0372_SU_T1	2	URB2;NCOA1	1	primary	43
1	CRUK0372_SU_FLN2	2	URB2;NCOA1	0	metastasis	43
0	CRUK0372_SU_T1	3	PTPRD;B2M	1	primary	27
1	CRUK0372_SU_FLN2	3	PTPRD;B2M	0	metastasis	27
0	CRUK0372_SU_T1	4	EPHA3;SPTA1	1	primary	21
1	CRUK0372_SU_FLN2	4	EPHA3;SPTA1	0	metastasis	21
0	CRUK0372_SU_T1	5	MYH9	1	primary	18
1	CRUK0372_SU_FLN2	5	MYH9	0	metastasis	18
0	CRUK0372_SU_T1	6	OBSCN;OTOF	0	primary	14
1	CRUK0372_SU_FLN2	6	OBSCN;OTOF	1	metastasis	14
0	CRUK0372_SU_T1	7	NT5C1A;MROH2B	0	primary	11
1	CRUK0372_SU_FLN2	7	NT5C1A;MROH2B	1	metastasis	11
0	CRUK0372_SU_T1	8	LYST;GOLGA4	1	primary	7
1	CRUK0372_SU_FLN2	8	LYST;GOLGA4	0	metastasis	7
0	CRUK0372_SU_T1	9	DCST1;G3BP2	1	primary	6
1	CRUK0372_SU_FLN2	9	DCST1;G3BP2	1	metastasis	6
