anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	present	site_category	num_mutations
0	primary_SU_T1	0	TP53;RB1	0	primary	883
1	LN_SU_FLN1	0	TP53;RB1	0	metastasis	883
0	primary_SU_T1	1	STK11;CHD8	1	primary	114
1	LN_SU_FLN1	1	STK11;CHD8	0	metastasis	114
0	primary_SU_T1	2	BRCA2;TET2	1	primary	109
1	LN_SU_FLN1	2	BRCA2;TET2	0	metastasis	109
0	primary_SU_T1	3	CTNNBIP1;PADI4	1	primary	74
1	LN_SU_FLN1	3	CTNNBIP1;PADI4	0	metastasis	74
0	primary_SU_T1	4	SIN3A;SPTA1	0	primary	58
1	LN_SU_FLN1	4	SIN3A;SPTA1	1	metastasis	58
0	primary_SU_T1	5	PDGFRA;CARD11	1	primary	44
1	LN_SU_FLN1	5	PDGFRA;CARD11	0	metastasis	44
0	primary_SU_T1	6	PTPRD;CHD3	1	primary	43
1	LN_SU_FLN1	6	PTPRD;CHD3	0	metastasis	43
0	primary_SU_T1	7	PDGFRA	1	primary	36
1	LN_SU_FLN1	7	PDGFRA	0	metastasis	36
0	primary_SU_T1	8	NOL9;ASTN1	1	primary	35
1	LN_SU_FLN1	8	NOL9;ASTN1	0	metastasis	35
0	primary_SU_T1	9	FGFR2	1	primary	32
1	LN_SU_FLN1	9	FGFR2	0	metastasis	32
0	primary_SU_T1	10	JAK2	1	primary	31
1	LN_SU_FLN1	10	JAK2	0	metastasis	31
0	primary_SU_T1	11	PDGFRA	1	primary	31
1	LN_SU_FLN1	11	PDGFRA	0	metastasis	31
0	primary_SU_T1	12	RAC1	0	primary	29
1	LN_SU_FLN1	12	RAC1	0	metastasis	29
0	primary_SU_T1	13	ESR1	1	primary	27
1	LN_SU_FLN1	13	ESR1	0	metastasis	27
0	primary_SU_T1	14	EPAS1	0	primary	27
1	LN_SU_FLN1	14	EPAS1	1	metastasis	27
0	primary_SU_T1	15	MACF1	1	primary	26
1	LN_SU_FLN1	15	MACF1	0	metastasis	26
0	primary_SU_T1	16	APOB	1	primary	26
1	LN_SU_FLN1	16	APOB	0	metastasis	26
0	primary_SU_T1	17	SOX9	1	primary	22
1	LN_SU_FLN1	17	SOX9	0	metastasis	22
0	primary_SU_T1	18	OBSCN;AZI2	1	primary	22
1	LN_SU_FLN1	18	OBSCN;AZI2	0	metastasis	22
0	primary_SU_T1	19	MTOR	0	primary	20
1	LN_SU_FLN1	19	MTOR	1	metastasis	20
0	primary_SU_T1	20	ARHGEF16;SZT2	0	primary	20
1	LN_SU_FLN1	20	ARHGEF16;SZT2	1	metastasis	20
0	primary_SU_T1	21	JAK1	1	primary	17
1	LN_SU_FLN1	21	JAK1	0	metastasis	17
0	primary_SU_T1	22	EGLN1;VAX2	1	primary	16
1	LN_SU_FLN1	22	EGLN1;VAX2	0	metastasis	16
0	primary_SU_T1	23	ZBTB20	1	primary	14
1	LN_SU_FLN1	23	ZBTB20	0	metastasis	14
0	primary_SU_T1	24	CHD8	1	primary	14
1	LN_SU_FLN1	24	CHD8	0	metastasis	14
0	primary_SU_T1	25	EPHA8;GAREML	1	primary	14
1	LN_SU_FLN1	25	EPHA8;GAREML	1	metastasis	14
0	primary_SU_T1	26	ENO1;IL22RA1	1	primary	11
1	LN_SU_FLN1	26	ENO1;IL22RA1	0	metastasis	11
0	primary_SU_T1	27	PIK3CB	1	primary	11
1	LN_SU_FLN1	27	PIK3CB	0	metastasis	11
0	primary_SU_T1	28	ZBTB7B	0	primary	9
1	LN_SU_FLN1	28	ZBTB7B	1	metastasis	9
0	primary_SU_T1	29	FSHR;FAM83H	1	primary	5
1	LN_SU_FLN1	29	FSHR;FAM83H	0	metastasis	5
0	primary_SU_T1	30	NPHP4;CHD9	0	primary	5
1	LN_SU_FLN1	30	NPHP4;CHD9	1	metastasis	5
