anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	present	site_category	num_mutations
0	primary_SU_T1	0	SPTA1;MYH9	0	primary	177
1	metachronousMet_BP_LN1	0	SPTA1;MYH9	1	metastasis	177
0	primary_SU_T1	1	PIM1;EGFR	1	primary	69
1	metachronousMet_BP_LN1	1	PIM1;EGFR	0	metastasis	69
0	primary_SU_T1	2	SPTA1	1	primary	43
1	metachronousMet_BP_LN1	2	SPTA1	0	metastasis	43
0	primary_SU_T1	3	NOTCH1;SMAD4	1	primary	42
1	metachronousMet_BP_LN1	3	NOTCH1;SMAD4	0	metastasis	42
0	primary_SU_T1	4	PGR;ZFHX3	1	primary	39
1	metachronousMet_BP_LN1	4	PGR;ZFHX3	0	metastasis	39
0	primary_SU_T1	5	GJA8;KANSL1L	1	primary	33
1	metachronousMet_BP_LN1	5	GJA8;KANSL1L	0	metastasis	33
0	primary_SU_T1	6	FAM76A;SERINC2	1	primary	16
1	metachronousMet_BP_LN1	6	FAM76A;SERINC2	0	metastasis	16
0	primary_SU_T1	7	OBSCN;OR5AC2	1	primary	16
1	metachronousMet_BP_LN1	7	OBSCN;OR5AC2	0	metastasis	16
0	primary_SU_T1	8	CLCA3P;ECM1	1	primary	11
1	metachronousMet_BP_LN1	8	CLCA3P;ECM1	0	metastasis	11
0	primary_SU_T1	9	KIF4B;PSMA2	1	primary	7
1	metachronousMet_BP_LN1	9	KIF4B;PSMA2	0	metastasis	7
0	primary_SU_T1	10	PCP4L1;SUSD4	1	primary	6
1	metachronousMet_BP_LN1	10	PCP4L1;SUSD4	0	metastasis	6
0	primary_SU_T1	11	NLRP3;IRX4	1	primary	6
1	metachronousMet_BP_LN1	11	NLRP3;IRX4	0	metastasis	6
