anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	present	site_category	num_mutations
0	primary_SU_T1	0	ERBB3;RNF43	1	primary	112
1	metachronousMet_MR_T1.FR1	0	ERBB3;RNF43	0	metastasis	112
0	primary_SU_T1	1	SPTA1;ERBB2	1	primary	25
1	metachronousMet_MR_T1.FR1	1	SPTA1;ERBB2	0	metastasis	25
0	primary_SU_T1	2	BAP1;SPTA1	1	primary	23
1	metachronousMet_MR_T1.FR1	2	BAP1;SPTA1	0	metastasis	23
0	primary_SU_T1	3	AADACL3;NPY5R	0	primary	17
1	metachronousMet_MR_T1.FR1	3	AADACL3;NPY5R	1	metastasis	17
0	primary_SU_T1	4	ZFHX3	1	primary	17
1	metachronousMet_MR_T1.FR1	4	ZFHX3	0	metastasis	17
0	primary_SU_T1	5	FAM198A;TMEM144	0	primary	10
1	metachronousMet_MR_T1.FR1	5	FAM198A;TMEM144	1	metastasis	10
0	primary_SU_T1	6	COL6A3;MED28	1	primary	6
1	metachronousMet_MR_T1.FR1	6	COL6A3;MED28	0	metastasis	6
0	primary_SU_T1	7	PTPRD	0	primary	5
1	metachronousMet_MR_T1.FR1	7	PTPRD	1	metastasis	5
0	primary_SU_T1	8	TAS1R1;PAX6	1	primary	5
1	metachronousMet_MR_T1.FR1	8	TAS1R1;PAX6	0	metastasis	5
0	primary_SU_T1	9	NLRP3;MTMR14	1	primary	5
1	metachronousMet_MR_T1.FR1	9	NLRP3;MTMR14	0	metastasis	5
