anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	present	site_category	num_mutations
0	primary_SU_T1	0	SF1;TCF7L2	1	primary	184
1	LN_SU_FLN1	0	SF1;TCF7L2	0	metastasis	184
0	primary_SU_T1	1	KIF1A;RPL5	1	primary	147
1	LN_SU_FLN1	1	KIF1A;RPL5	0	metastasis	147
0	primary_SU_T1	2	TET2;TSC2	0	primary	109
1	LN_SU_FLN1	2	TET2;TSC2	1	metastasis	109
0	primary_SU_T1	3	COL5A1;EPAS1	1	primary	60
1	LN_SU_FLN1	3	COL5A1;EPAS1	0	metastasis	60
0	primary_SU_T1	4	MACF1;MECOM	1	primary	58
1	LN_SU_FLN1	4	MACF1;MECOM	0	metastasis	58
0	primary_SU_T1	5	CIC;ARID1A	0	primary	36
1	LN_SU_FLN1	5	CIC;ARID1A	1	metastasis	36
0	primary_SU_T1	6	CSMD2;MTF1	1	primary	33
1	LN_SU_FLN1	6	CSMD2;MTF1	0	metastasis	33
0	primary_SU_T1	7	CDKN1B;HRAS	1	primary	21
1	LN_SU_FLN1	7	CDKN1B;HRAS	0	metastasis	21
0	primary_SU_T1	8	KIF17;PIGK	1	primary	17
1	LN_SU_FLN1	8	KIF17;PIGK	0	metastasis	17
0	primary_SU_T1	9	KMT2A	1	primary	17
1	LN_SU_FLN1	9	KMT2A	0	metastasis	17
0	primary_SU_T1	10	NOL10;ADD2	1	primary	9
1	LN_SU_FLN1	10	NOL10;ADD2	0	metastasis	9
0	primary_SU_T1	11	OR10R2;LEKR1	1	primary	9
1	LN_SU_FLN1	11	OR10R2;LEKR1	0	metastasis	9
0	primary_SU_T1	12	DENND2C;PDHA2	1	primary	6
1	LN_SU_FLN1	12	DENND2C;PDHA2	0	metastasis	6
