anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	present	site_category	num_mutations
0	primary_SU_T1	0	NIPBL;HGF	1	primary	2732
1	LN_SU_FLN1	0	NIPBL;HGF	0	metastasis	2732
0	primary_SU_T1	1	HGF;MUC6	1	primary	999
1	LN_SU_FLN1	1	HGF;MUC6	0	metastasis	999
0	primary_SU_T1	2	MUC6;ERBB3	1	primary	653
1	LN_SU_FLN1	2	MUC6;ERBB3	0	metastasis	653
0	primary_SU_T1	3	GABRA6;MUC6	1	primary	552
1	LN_SU_FLN1	3	GABRA6;MUC6	0	metastasis	552
0	primary_SU_T1	4	ATR;KIF1A	1	primary	542
1	LN_SU_FLN1	4	ATR;KIF1A	0	metastasis	542
0	primary_SU_T1	5	ATR;COL5A1	1	primary	443
1	LN_SU_FLN1	5	ATR;COL5A1	0	metastasis	443
0	primary_SU_T1	6	PDGFRA;EPAS1	1	primary	401
1	LN_SU_FLN1	6	PDGFRA;EPAS1	0	metastasis	401
0	primary_SU_T1	7	COL5A1;RARA	1	primary	397
1	LN_SU_FLN1	7	COL5A1;RARA	0	metastasis	397
0	primary_SU_T1	8	NIPBL;SPTAN1	1	primary	395
1	LN_SU_FLN1	8	NIPBL;SPTAN1	0	metastasis	395
0	primary_SU_T1	9	EPAS1;FOXQ1	0	primary	330
1	LN_SU_FLN1	9	EPAS1;FOXQ1	1	metastasis	330
0	primary_SU_T1	10	COL5A1;KMT2A	1	primary	307
1	LN_SU_FLN1	10	COL5A1;KMT2A	0	metastasis	307
0	primary_SU_T1	11	KIF1A;UNCX	1	primary	274
1	LN_SU_FLN1	11	KIF1A;UNCX	0	metastasis	274
0	primary_SU_T1	12	ARHGAP35;CDKN1B	0	primary	256
1	LN_SU_FLN1	12	ARHGAP35;CDKN1B	0	metastasis	256
0	primary_SU_T1	13	MEN1;EPAS1	1	primary	233
1	LN_SU_FLN1	13	MEN1;EPAS1	0	metastasis	233
0	primary_SU_T1	14	PPP2R1A;MUC6	1	primary	147
1	LN_SU_FLN1	14	PPP2R1A;MUC6	0	metastasis	147
0	primary_SU_T1	15	SPTA1;FAT1	1	primary	129
1	LN_SU_FLN1	15	SPTA1;FAT1	0	metastasis	129
0	primary_SU_T1	16	RXRA;SOX17	1	primary	114
1	LN_SU_FLN1	16	RXRA;SOX17	0	metastasis	114
0	primary_SU_T1	17	SPTA1;ERBB4	1	primary	104
1	LN_SU_FLN1	17	SPTA1;ERBB4	0	metastasis	104
0	primary_SU_T1	18	SETD2;MYH9	1	primary	101
1	LN_SU_FLN1	18	SETD2;MYH9	0	metastasis	101
0	primary_SU_T1	19	MSH3;INPPL1	1	primary	100
1	LN_SU_FLN1	19	MSH3;INPPL1	0	metastasis	100
0	primary_SU_T1	20	SOS1;ATF7IP	0	primary	90
1	LN_SU_FLN1	20	SOS1;ATF7IP	1	metastasis	90
0	primary_SU_T1	21	TXNIP;JAK3	1	primary	89
1	LN_SU_FLN1	21	TXNIP;JAK3	0	metastasis	89
0	primary_SU_T1	22	TRIM62;KCNQ4	1	primary	48
1	LN_SU_FLN1	22	TRIM62;KCNQ4	0	metastasis	48
0	primary_SU_T1	23	PIK3CA;SCAF4	1	primary	47
1	LN_SU_FLN1	23	PIK3CA;SCAF4	0	metastasis	47
0	primary_SU_T1	24	ZC3H12A;INPPL1	1	primary	41
1	LN_SU_FLN1	24	ZC3H12A;INPPL1	0	metastasis	41
0	primary_SU_T1	25	PAX5	1	primary	40
1	LN_SU_FLN1	25	PAX5	0	metastasis	40
0	primary_SU_T1	26	USP48;SGIP1	1	primary	40
1	LN_SU_FLN1	26	USP48;SGIP1	0	metastasis	40
0	primary_SU_T1	27	FBXW7	0	primary	37
1	LN_SU_FLN1	27	FBXW7	1	metastasis	37
0	primary_SU_T1	28	SPTAN1;GNAS	1	primary	34
1	LN_SU_FLN1	28	SPTAN1;GNAS	0	metastasis	34
0	primary_SU_T1	29	ASXL1;KEL	1	primary	34
1	LN_SU_FLN1	29	ASXL1;KEL	0	metastasis	34
0	primary_SU_T1	30	KMT2C;CIC	1	primary	32
1	LN_SU_FLN1	30	KMT2C;CIC	0	metastasis	32
0	primary_SU_T1	31	MYO7B;CAPN10	1	primary	22
1	LN_SU_FLN1	31	MYO7B;CAPN10	0	metastasis	22
0	primary_SU_T1	32	ITPRIPL1;NOP14	1	primary	8
1	LN_SU_FLN1	32	ITPRIPL1;NOP14	1	metastasis	8
0	primary_SU_T1	33	U2AF1;EGFR	1	primary	6
1	LN_SU_FLN1	33	U2AF1;EGFR	0	metastasis	6
0	primary_SU_T1	34	MAT2A;SESN1	1	primary	6
1	LN_SU_FLN1	34	MAT2A;SESN1	0	metastasis	6
0	primary_SU_T1	35	TBC1D32;EIF3B	1	primary	5
1	LN_SU_FLN1	35	TBC1D32;EIF3B	0	metastasis	5
