anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	present	site_category	num_mutations
0	CRUK0084_MR_T1	0	NIPBL;TP53	0	primary	754
1	CRUK0084_BR_LN10	0	NIPBL;TP53	0	metastasis	754
0	CRUK0084_MR_T1	1	RPS6KA1;KCNK3	0	primary	30
1	CRUK0084_BR_LN10	1	RPS6KA1;KCNK3	1	metastasis	30
0	CRUK0084_MR_T1	2	SMAD4	1	primary	26
1	CRUK0084_BR_LN10	2	SMAD4	0	metastasis	26
0	CRUK0084_MR_T1	3	CAPN9;GKN2	0	primary	22
1	CRUK0084_BR_LN10	3	CAPN9;GKN2	1	metastasis	22
0	CRUK0084_MR_T1	4	MYOM3;PTCH2	1	primary	17
1	CRUK0084_BR_LN10	4	MYOM3;PTCH2	0	metastasis	17
0	CRUK0084_MR_T1	5	SP110;C3orf67	1	primary	13
1	CRUK0084_BR_LN10	5	SP110;C3orf67	0	metastasis	13
0	CRUK0084_MR_T1	6	MASP2;CLK2	0	primary	11
1	CRUK0084_BR_LN10	6	MASP2;CLK2	1	metastasis	11
0	CRUK0084_MR_T1	7	KMT2C	1	primary	10
1	CRUK0084_BR_LN10	7	KMT2C	0	metastasis	10
0	CRUK0084_MR_T1	8	ATF7IP	0	primary	10
1	CRUK0084_BR_LN10	8	ATF7IP	1	metastasis	10
0	CRUK0084_MR_T1	9	ZSWIM5;CR2	0	primary	10
1	CRUK0084_BR_LN10	9	ZSWIM5;CR2	1	metastasis	10
0	CRUK0084_MR_T1	10	OR14A16;USP40	1	primary	9
1	CRUK0084_BR_LN10	10	OR14A16;USP40	0	metastasis	9
0	CRUK0084_MR_T1	11	PLA2G2A;RP11-59E19.1	1	primary	7
1	CRUK0084_BR_LN10	11	PLA2G2A;RP11-59E19.1	0	metastasis	7
0	CRUK0084_MR_T1	12	SPTBN1;DHX36	1	primary	6
1	CRUK0084_BR_LN10	12	SPTBN1;DHX36	0	metastasis	6
0	CRUK0084_MR_T1	13	ADAM19;SMC5	1	primary	5
1	CRUK0084_BR_LN10	13	ADAM19;SMC5	0	metastasis	5
