anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	present	site_category	num_mutations
0	CRUK0721_SU_T1	0	PAX5;HGF	1	primary	2285
1	CRUK0721_SU_FLN1	0	PAX5;HGF	0	metastasis	2285
0	CRUK0721_SU_T1	1	CYSLTR2	1	primary	43
1	CRUK0721_SU_FLN1	1	CYSLTR2	0	metastasis	43
0	CRUK0721_SU_T1	2	POLE;RQCD1	0	primary	40
1	CRUK0721_SU_FLN1	2	POLE;RQCD1	1	metastasis	40
0	CRUK0721_SU_T1	3	PDGFRA;DNMT3A	1	primary	39
1	CRUK0721_SU_FLN1	3	PDGFRA;DNMT3A	0	metastasis	39
0	CRUK0721_SU_T1	4	NOTCH1;CDKN2A	1	primary	39
1	CRUK0721_SU_FLN1	4	NOTCH1;CDKN2A	0	metastasis	39
0	CRUK0721_SU_T1	5	MYH9;SF3B1	1	primary	32
1	CRUK0721_SU_FLN1	5	MYH9;SF3B1	0	metastasis	32
0	CRUK0721_SU_T1	6	CADM3;DMP1	0	primary	6
1	CRUK0721_SU_FLN1	6	CADM3;DMP1	1	metastasis	6
0	CRUK0721_SU_T1	7	PTPN14;MAT2B	0	primary	6
1	CRUK0721_SU_FLN1	7	PTPN14;MAT2B	1	metastasis	6
